number,family,genus,specific epithet,species,mycorrhizal type selivanov,mycorrhizal type modern,site number,intensity of mycorrhizal infection,literature data on presence-absence of mycorrhiza,mycorrhizal intensity min,mycorrhizal intensity max,taxonomy notes
244,Poaceae,Agropyron,desertorum,Agropyron desertorum,Ph.th.end.,AM,64,20,,,,ok
245,Poaceae,Agropyron,desertorum,Agropyron desertorum,Ph.th.end.,AM,65,40,,,,ok
246,Poaceae,Agropyron,fragile,Agropyron fragile,Ph.th.end.,AM,53,40,,,,ok
247,Poaceae,Agropyron,fragile,Agropyron fragile,Ph.th.end.,AM,54,20,,,,ok
248,Poaceae,Agropyron,fragile,Agropyron fragile,Ph.th.end.,AM,64,20,,,,ok
249,Poaceae,Agropyron,fragile,Agropyron fragile,Ph.th.end.,AM,145,20,,,,ok
250,Poaceae,Agropyron,gracillimum,Agropyron gracillimum,Ph.th.end.,AM,98,,+,,,ok
251,Poaceae,Agropyron,lavrenkoanum,Agropyron lavrenkoanum,Ph.th.end.,AM,40,30,,,,ok
252,Poaceae,Agropyron,lavrenkoanum,Agropyron lavrenkoanum,Ph.th.end.,AM,41,30,,,,ok
253,Poaceae,Agropyron,lavrenkoanum,Agropyron lavrenkoanum,Ph.th.end.,AM,42,30,,,,ok
254,Poaceae,Agropyron,lavrenkoanum,Agropyron lavrenkoanum,Ph.th.end.,AM,43,30,,,,ok
255,Poaceae,Agropyron,lavrenkoanum,Agropyron lavrenkoanum,Ph.th.end.,AM,44,30,,,,ok
256,Poaceae,Agropyron,lavrenkoanum,Agropyron lavrenkoanum,Ph.th.end.,AM,45,30,,,,ok
257,Poaceae,Agropyron,lavrenkoanum,Agropyron lavrenkoanum,Ph.th.end.,AM,46,30,,,,ok
258,Poaceae,Agropyron,lavrenkoanum,Agropyron lavrenkoanum,Ph.th.end.,AM,47,30,,,,ok
